ADRNo;SOC;SOCCode: System Organ Class;HLT:Higher Level Term;HLTCode;PT: Preffered Term;PTCode;LLT: Lower Level Term;LLTCode
2965/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
3075/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
3075/19;Immune system disorders;10;Allergic conditions;72;Hypersensitivity reaction;319;Allergic reaction;1304
2963/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
2960/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
2955/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3078/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3078/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
3078/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Anaemia NOS;142
3078/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
3078/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
3078/19;Investigations;34;White blood cell investigations;250;Neutropenia;101;Neutropenia;167
3078/19;Investigations;34;Serum protein investigations;251;Hypoproteinaemia;1037;Hypoproteinaemia;1976
3078/19;Investigations;34;Serum protein investigations;251;Hypoalbuminaemia;1036;Hypoalbuminaemia;1883
3078/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3082/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
3082/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Dyspnoea;506;Laboured breathing;1171
3082/19;Digestive tract disorders;5;Oral cavity disorders;34;Hypersalivation;182;Hypersalivation;293
3082/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
3084/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Twitching;686
3084/19;Behavioural disorders;2;Other behavioural disorders;6;Hyperactivity;73;Hyperexcitation;122
3084/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Rale;514;Harsh lung sounds;2487
3024/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site hair loss;3
3024/19;Application site disorders;1;Application site reactions;1;Application site haemorrhage;7;Application site bleeding;12
3086/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3088/19;Immune system disorders;10;Allergic conditions;72;Hypersensitivity reaction;319;Hypersensitivity reaction;2241
3088/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Erythema (for urticaria see Immune SOC);948
3088/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
3088/19;Immune system disorders;10;Allergic conditions;72;Urticaria;321;Hives (see also 'Skin');1525
3088/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
3088/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
3088/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
2129/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
2129/19;Neurological disorders;14;Neurological disorders NOS;219;Neurological disorder NOS;812;Neurological signs NOS;630
2129/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
3013/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
3013/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
3001/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Pruritus;960
3001/19;Behavioural disorders;2;Other behavioural disorders;6;Self mutilation;667;Self mutilation;1222
2999/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
2995/19;Neurological disorders;14;Central nervous system disorders;94;Central nervous system disorder NOS;389;Fly biting behaviour;2469
2995/19;Behavioural disorders;2;Other behavioural disorders;6;Anxiety;70;Distress;114
2991/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylactic-type reaction;1114
2991/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
2991/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Increased respiratory rate;856
2991/19;Cardio-vascular system disorders;4;Circulatory disorders;24;Hypotension;139;Low blood pressure;229
3089/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
3089/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
3089/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Paddling;1226
2988/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
3090/19;Eye disorders;8;Scleral and conjunctival disorders;64;Conjunctivitis;291;Conjunctivitis;469
3090/19;Eye disorders;8;Corneal disorders;54;Corneal ulcer;257;Corneal ulcer;415
3090/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
3090/19;Eye disorders;8;Iris, ciliary body and choroid disorders;57;Pupil disorder;269;Pupil disorder;432
3090/19;Eye disorders;8;Corneal disorders;54;Corneal oedema;256;Blue eye;414
3090/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3090/19;Investigations;34;Conjunctival investigations;257;Schirmer tear test;1051;Schirmer tear test;2666
3090/19;Investigations;34;Conjunctival investigations;257;Keratoconjunctivitis sicca;293;Dry eye;472
3091/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3092/19;Neurological disorders;14;Convulsions and epilepsy;97;Convulsion;397;Seizure NOS;645
3092/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Trembling;687
3092/19;Investigations;34;Metabolic investigations;254;Hypoglycaemia;904;Hypoglycaemia;1947
3092/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3092/19;Investigations;34;Thrombocyte investigations;248;Thrombocytopenia;95;Low platelet count;161
3092/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Twitching;686
3092/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Weakness;1023
3076/19;Systemic disorders;19;Death;151;Death;592;Death;984
3094/19;Systemic disorders;19;Death;151;Death;592;Death;984
3094/19;Investigations;34;Abnormal necropsy;265;Abnormal necropsy finding;1090;Abnormal necropsy finding;2142
3094/19;Digestive tract disorders;5;Intestinal disorders;236;Enteritis;205;Enteritis;327
3076/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3010/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
2774/19;Blood and lymphatic system disorders;3;Other blood disorders;19;Haemorrhage NOS;111;Haemorrhage NOS;177
2774/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
3097/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3097/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
3097/19;Investigations;34;White blood cell investigations;250;Leucopenia;98;Leucopenia;164
3097/19;Investigations;34;Thrombocyte investigations;248;Thrombocytopenia;95;Thrombocytopenia;160
3097/19;Investigations;34;Red blood cell investigations;249;Anaemia NOS;85;Decreased red blood cell count;2157
3097/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3097/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
3098/19;Neurological disorders;14;Central nervous system disorders;94;Central nervous system depression;388;Central nervous system depression;628
3098/19;Neurological disorders;14;Impaired consciousness;99;Sedation;664;Sedation prolonged;1903
3098/19;Neurological disorders;14;Impaired consciousness;99;Loss of consciousness;405;Loss of consciousness;667
3010/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Ataxia;654
3010/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Balance problem;372
3010/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3010/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatic failure;638;Liver failure;1109
3010/19;Hepato-biliary disorders;9;Hepatic disorders;66;Hepatic toxicosis;305;Hepatic toxicosis;492
3010/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Pulmonary oedema;512;Lung oedema;849
3010/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Dyspnoea;506;Breathing difficulty;1170
3099/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial oedema;1110
3099/19;Eye disorders;8;Other eye disorders;62;Periorbital oedema;285;Swollen eye;1810
3099/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Pruritus;960
3099/19;Behavioural disorders;2;Other behavioural disorders;6;Vocalisation;78;Vocalisation;129
3099/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
2613/19;Application site disorders;1;Application site reactions;1;Application site self trauma;18;Licking at application site;1973
3100/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3101/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Excessive thirst;544
3102/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site alopecia;2
3102/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site pruritus;25
3104/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Subdued;2646
3104/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3104/19;Musculoskeletal disorders;13;Muscular disorders;89;Muscle stiffness;374;Stiffness limb;1793
3104/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
3104/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3105/19;Neurological disorders;14;Central nervous system disorders;94;Increased intracranial pressure;392;Head pressing;636
3105/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3105/19;Neurological disorders;14;Mental impairment;217;Disorientation;401;Confusion;659
3105/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Decreased appetite;998
3105/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Hiding;2207
3105/19;Musculoskeletal disorders;13;Bone and joint disorders;83;Arthritis;352;Arthritis;569
3105/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Weakness;1023
3106/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
3106/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
3106/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Polydipsia;543
3106/19;Neurological disorders;14;Neuromuscular disorders;101;Muscle tremor;412;Shivering;1905
3106/19;Systemic disorders;19;Systemic disorders NOS;158;Systemic disorder NOS;622;Shaking;2002
3106/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
3106/19;Investigations;34;Electrolyte investigations;260;Hypercalcaemic condition;343;Hypercalcaemia;553
3106/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated creatinine;2048
3108/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3108/19;Behavioural disorders;2;Miscellaneous eating disorders NOS;5;Miscellaneous eating disorder NOS;67;Miscellaneous eating disorder NOS;109
3108/19;Systemic disorders;19;Performance disorders;157;Loss of condition;618;Loss of condition;1044
3109/19;Immune system disorders;10;Allergic conditions;72;Urticaria;321;Hives (see also 'Skin');1525
3109/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Swollen face (see also 'Skin');1811
3109/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Local swelling (not application site);1580
3109/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
3110/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
3110/19;Application site disorders;1;Injection site reactions;3;Injection site inflammation;51;Injection site warmth;1556
3110/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
3111/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Loose stool;304
3112/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3112/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3112/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
3112/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Unable to jump;2394
3112/19;Musculoskeletal disorders;13;Muscular disorders;89;Muscle stiffness;374;Stiffness limb;1793
3116/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
3116/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3116/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Increased respiratory rate;856
3116/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Rale;514;Crackles on auscultation;2140
3117/19;Skin and appendages disorders;18;Hair follicle and sebaceous gland disorders;144;Hair change;771;Hair change;1506
3117/19;Skin and appendages disorders;18;Sweating disorders;149;Hyperhidrosis;588;Increased sweating;974
3117/19;Systemic disorders;19;General signs or symptoms;154;Polydipsia;339;Excessive thirst;544
3117/19;Renal and urinary disorders;15;Renal disorders;107;Polyuria;425;Polyuria;718
3117/19;Musculoskeletal disorders;13;Muscular disorders;89;Myopathy;375;Muscle wasting;611
3118/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Cough;532;Cough;884
3119/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3120/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
3120/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3120/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
3121/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
3122/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site alopecia;2
3122/19;Application site disorders;1;Application site reactions;1;Application site lesion;9;Application site sore;2602
3123/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Desquamation;568;Skin slough;943
3124/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
3124/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
3124/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
3124/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
3125/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site oedema;90
3125/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
3125/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site mass;2113
3125/19;Application site disorders;1;Injection site reactions;3;Injection site inflammation;51;Injection site warmth;1556
3126/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (tick);2658
3127/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3127/19;Musculoskeletal disorders;13;Muscular disorders;89;Muscle stiffness;374;Stiffness limb;1793
3127/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Hind limb ataxia;1134
3127/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
3128/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Swelling NOS;1214
3128/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Erythema;570;Skin warmth;2398
3128/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
3129/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Rale;514;Rattling chest;853
3129/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Abdominal pain;163;Colic;264
3129/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3130/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
3130/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Stumbling gait;657
3130/19;Application site disorders;1;Injection site reactions;3;Injection site stiffness;786;Injection site stiffness;1553
3130/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3130/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Respiratory tract disorder NOS;650;Nasal discharge;871
3130/19;Application site disorders;1;Injection site reactions;3;Injection site inflammation;51;Injection site warmth;1556
3130/19;Systemic disorders;19;General signs or symptoms;154;Abnormal posture NOS;644;Abnormal posture NOS;1132
3131/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
3131/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
3132/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Increased heart rate;193
3132/19;Systemic disorders;19;General signs or symptoms;154;Pale mucous membrane;660;Pale mucous membrane;222
3132/19;Systemic disorders;19;General signs or symptoms;154;Hypothermia;605;Hypothermia;1015
3132/19;Neurological disorders;14;Impaired consciousness;99;Sedation;664;Recovery prolonged;1904
3132/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Cough;532;Cough;884
3132/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Sleepiness - systemic disorder;2529
3132/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Chewing - pruritus (see also 'Oral cavity disorders');2618
3133/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Dull;2274
3133/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Reluctant to move;1025
3133/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dehydration;1208
3133/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Abdominal pain;163;Colic;264
3133/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated renal parameters;1992
3134/19;Investigations;34;Renal and urinary investigations;262;Glucosuria;1079;Glucosuria;1960
3134/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
3134/19;Investigations;34;Serum protein investigations;251;Hyperalbuminaemia;1034;Hyperalbuminaemia;2154
3134/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Fluid in abdomen;627;Ascites;1030
3135/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
3136/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
3137/19;Application site disorders;1;Injection site reactions;3;Injection site pain;56;Injection site pain;93
3138/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Limping;1990
3138/19;Cardio-vascular system disorders;4;Cardiac/heart disorders;23;Murmur;133;Murmur;214
3138/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Abdominal pain;163;Abdominal pain;263
3138/19;Renal and urinary disorders;15;Renal disorders;107;Renal insufficiency;428;Acute renal failure;1159
3138/19;Metabolism and nutrition disorders;12;Other metabolic disorders;82;Hypocalcaemic condition;347;Hypocalcaemic condition;560
3138/19;Investigations;34;Electrolyte investigations;260;Hyponatremia;1064;Hyponatremia;2512
3138/19;Investigations;34;Renal and urinary investigations;262;Decreased urine concentration;1078;Decreased urine concentration;1963
3138/19;Digestive tract disorders;5;Stomach disorders;38;Retching;217;Retching;345
3138/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
3138/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Generalised weakness;1496
3138/19;Systemic disorders;19;General signs or symptoms;154;Collapse NOS;599;Collapse NOS (see also 'Cardio-vascular' and 'Neurological disorders');1001
3138/19;Neurological disorders;14;Paralytic and paretic disorders;102;Paresis;416;Hind limb paresis;1153
3138/19;Digestive tract disorders;5;Oral cavity disorders;34;Hypersalivation;182;Hypersalivation;293
3138/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated BUN;2047
3138/19;Investigations;34;Renal and urinary investigations;262;Increased blood urea nitrogen (BUN) or creatinine;1069;Elevated creatinine;2048
3138/19;Renal and urinary disorders;15;Renal disorders;107;Anuria;422;Anuria;712
3138/19;Investigations;34;Electrolyte investigations;260;Hyperkalaemia;1060;Hyperkalaemia;1944
3138/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Food refusal;2401
3139/19;Digestive tract disorders;5;Intestinal disorders;236;Rectal haemorrhage;169;Rectal bleeding;272
3139/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
3139/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract disorder NOS;187;Regurgitation;1888
3139/19;Digestive tract disorders;5;Abdominal cavity disorders;28;Abdominal cavity disorder NOS;155;Abdominal cavity disorder NOS;251
3139/19;Digestive tract disorders;5;Intestinal disorders;236;Intestinal disorder NOS;987;Intestinal disorder NOS;2440
3139/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
3139/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
3139/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
3139/19;Systemic disorders;19;General signs or symptoms;154;Adipsia;338;Not drinking;541
3139/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
3139/19;Investigations;34;White blood cell investigations;250;Neutropenia;101;Neutropenia;167
3139/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3139/19;Investigations;34;Abnormal imaging;266;Abnormal ultrasound finding;1093;Abnormal ultrasound finding;2069
3139/19;Systemic disorders;19;General signs or symptoms;154;Dehydration;657;Dehydration;1208
3140/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
3141/19;Endocrine system disorders;7;Adrenal gland disorders;45;Hyperadrenocorticism;236;Cushings disease NOS;380
3141/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
3142/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Depression;1024
3142/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Fever;1032
3142/19;Neurological disorders;14;Neurological disorders NOS;219;Neurological disorder NOS;812;Neurological signs NOS;630
3142/19;Systemic disorders;19;Death;151;Death;592;Death;984
3142/19;Neurological disorders;14;Central nervous system disorders;94;Meningitis;393;Meningitis;637
3143/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Localised oedema (not application site);1586
3143/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Subdued;2646
3144/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
3144/19;Application site disorders;1;Injection site reactions;3;Injection site reaction NOS;59;Injection site lump;92
3144/19;Application site disorders;1;Injection site reactions;3;Injection site oedema;55;Injection site swelling;91
3144/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
3144/19;Systemic disorders;19;General signs or symptoms;154;Localised pain NOS;607;Localised pain NOS (see other 'SOCs' for specific pain);1026
3144/19;Neurological disorders;14;Neurological disorders NOS;219;Neurological disorder NOS;812;Neurological signs NOS;630
3144/19;Application site disorders;1;Injection site reactions;3;Injection site sarcoma;60;Injection site sarcoma;101
3144/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
3144/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Behavioural disorder NOS;116
3144/19;Behavioural disorders;2;Other behavioural disorders;6;Behavioural disorder NOS;71;Hiding;2207
3144/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
3144/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Quiet;2645
3144/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3144/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Lameness;615
3144/19;Musculoskeletal disorders;13;Bone and joint disorders;83;Bone and joint disorder NOS;354;Knuckling;578
3144/19;Investigations;34;Renal and urinary investigations;262;Haematuria;1077;Blood in urine;1956
3144/19;Investigations;34;Renal and urinary investigations;262;Proteinuria;1083;Proteinuria;1961
2779/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
2779/19;Investigations;34;Serum protein investigations;251;Hypoalbuminaemia;1036;Hypoalbuminaemia;1883
2779/19;Investigations;34;White blood cell investigations;250;Lymphopenia;100;Lymphopenia;166
2779/19;Investigations;34;Other abnormal test result NOS;267;Other abnormal test result NOS;1092;Abnormal test result;1221
3145/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (bacteria NOS);2648
3145/19;Systemic disorders;19;Death;151;Death;592;Death;984
3147/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3147/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3147/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Lameness;378;Lameness;615
3147/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
3147/19;Systemic disorders;19;General signs or symptoms;154;General pain;603;Pain NOS;1012
3147/19;Systemic disorders;19;General signs or symptoms;154;Recumbency;947;Abnormal posture;2395
3148/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
3148/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
3148/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
3148/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Not eating;1207
3148/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
3148/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Hind limb ataxia;1134
3149/19;Systemic disorders;19;Death;151;Death;592;Death;984
3149/19;Reproductive system disorders;16;Pregnancy and parturition;125;Abortion;463;Abortion;775
3149/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
3149/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
3149/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Depression;1024
3149/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Off colour;1028
3149/19;Systemic disorders;19;General signs or symptoms;154;Oedema NOS;609;Submandibular oedema;2276
2222/19;Immune system disorders;10;Allergic conditions;72;Anaphylaxis;317;Anaphylaxis;512
3152/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (virus NOS);2660
